timestamp,iterations,solutions,solver_checks,solver_time
1675801963.637937,433,431,2258,84918.03111839294
1675802029.0930796,434,432,2259,84983.47103095055
1675802248.7941427,435,433,2271,85203.14884901047
1675802324.1161644,436,434,2272,85278.45598125458
1675802778.1764867,437,435,2283,85732.48464870453
1675802838.6133137,438,436,2288,85792.89958786964
1675802923.4927082,439,437,2289,85877.76514577866
1675803008.7814605,440,438,2299,85963.03087353706
1675803059.9527996,441,439,2300,86014.18621325493
1675803130.3879066,442,440,2305,86084.60343384743
1675803192.3949738,443,441,2306,86146.5936448574
1675803242.0039425,444,442,2316,86196.18010258675
1675803278.1479375,445,443,2317,86232.31210207939
1675803365.9409158,446,444,2322,86320.08823299408
1675803445.9509406,447,445,2323,86400.08289361
1675803526.2907405,448,446,2333,86480.4004585743
1675803562.2847068,449,447,2334,86516.37851309776
1675803658.3791735,450,448,2339,86612.45407605171
1675803688.5670424,451,449,2340,86642.62647604942
1675803722.5116186,452,450,2350,86676.54833626747
1675803776.61431,453,451,2351,86730.64156889915
1675803806.466651,454,452,2356,86760.47528529167
1675803866.743228,455,453,2357,86820.73589873314
1675803905.789785,456,454,2367,86859.75959420204
1675803942.8781607,457,455,2368,86896.83678388596
1675804029.0455728,458,456,2373,86982.98627924919
1675804111.5558007,459,457,2374,87065.48063516617
1675804148.1749783,460,458,2384,87102.07763457298
1675804214.0606172,461,459,2385,87167.95253062248
1675804258.3043733,462,460,2390,87212.17799043655
1675804316.7610006,463,461,2391,87270.62402009964
1675804380.5089507,464,462,2401,87334.34889602661
1675804397.064015,465,463,2402,87350.88931250572
1675804434.9658768,466,464,2404,87388.7751045227
1675804475.8262646,467,465,2405,87429.62408280373
1675804543.2088857,468,466,2406,87496.99222445488
1675804583.449908,469,467,2407,87537.21935629845
1675804648.1100938,470,468,2408,87601.8651804924
1675804681.738743,471,469,2409,87635.47950601578
1675804722.9204278,472,470,2410,87676.65269899368
1675804786.6003633,473,471,2411,87740.31872701645
1675804834.1896582,474,472,2415,87787.89216804504
1675804917.6741748,475,473,2416,87871.36183309555
1675804978.3091474,476,474,2428,87931.97319102287
1675805030.118349,477,475,2429,87983.76629662514
1675805104.0688457,478,476,2436,88057.69780158997
1675805174.080609,479,477,2437,88127.69505238533
1675805224.3859308,480,478,2449,88177.9753806591
1675805270.9984891,481,479,2450,88224.57761764526
1675805312.7128232,482,480,2457,88266.27140259743
1675805414.6598582,483,481,2458,88368.2038705349
1675805453.6280184,484,482,2470,88407.14766168594
1675805497.2358077,485,483,2471,88450.74552607536
1675805542.7501614,486,484,2478,88496.23894834518
1675805575.1304083,487,485,2479,88528.60459923744
1675805615.2881293,488,486,2491,88568.7438108921
1675805670.05701,489,487,2492,88623.49744820595
1675805707.235641,490,488,2499,88660.65618300438
1675805796.9492419,491,489,2500,88750.36054849625
1675805875.4449222,492,490,2512,88828.8325021267
1675805937.8792048,493,491,2513,88891.25161027908
1675806109.1119816,494,492,2520,89062.46439814568
1675806139.2940547,495,493,2521,89092.63168430328
1675806191.5375335,496,494,2533,89144.85073661804
1675806224.323306,497,495,2534,89177.62548995018
1675806270.3153934,498,496,2541,89223.59728884697
1675806358.4267297,499,497,2542,89311.69403672218
1675806418.6296542,500,498,2554,89371.87310147285
1675806441.3673272,501,499,2555,89394.59624695778
1675806725.3917224,502,500,2565,89678.59347462654
1675807005.93847,503,501,2572,89959.12042474747
1675807062.5424263,504,502,2573,90015.70944786072
1675807109.461682,505,503,2583,90062.6068212986
1675807146.5977972,506,504,2584,90099.72880482674
1675807192.3113022,507,505,2586,90145.43162226677
1675807265.8292055,508,506,2587,90218.93412232399
1675807312.8916612,509,507,2588,90265.98102712631
1675807348.6471152,510,508,2589,90301.72127866745
1675807414.7296557,511,509,2590,90367.78852844238
1675807484.700023,512,510,2591,90437.74365901947
1675807537.8247633,513,511,2592,90490.85326051712
1675807562.8907146,514,512,2593,90515.9044649601
1675807609.322683,515,513,2597,90562.32620763779
1675807643.965652,516,514,2598,90596.95472550392
1675807714.482159,517,515,2610,90667.44908428192
1675807768.1734703,518,516,2611,90721.12555146217
1675807910.675935,519,517,2618,90863.60694813728
1675807967.536393,520,518,2619,90920.45194101334
1675808022.5224197,521,519,2631,90975.41346096992
1675808052.6368196,522,520,2632,91005.51366949081
1675808108.790853,523,521,2639,91061.64746952057
1675808184.6806774,524,522,2640,91137.52229475975
1675808231.9888585,525,523,2652,91184.80478811264
1675808378.5939553,526,524,2653,91331.39448451996
1675808394.5824935,527,525,2660,91347.36278939247
1675808447.7564087,528,526,2661,91400.52253842354
1675808487.0141902,529,527,2673,91439.76093554497
1675808515.6859803,530,528,2674,91468.41842985153
1675808546.8712738,531,529,2681,91499.58349895477
1675808624.4011877,532,530,2682,91577.10272717476
1675808667.981081,533,531,2694,91620.65796971321
1675808712.6805906,534,532,2695,91665.34369826317
1675808760.393309,535,533,2702,91713.0364215374
1675808814.9477382,536,534,2703,91767.57681775093
1675808861.2366157,537,535,2715,91813.84069824219
1675808897.1234705,538,536,2716,91849.71742606163
1675809333.5865843,539,537,2726,92286.15111637115
1675809436.451836,540,538,2733,92388.99815392494
1675809480.4313362,541,539,2734,92432.96111607552
1675809529.8904753,542,540,2744,92482.39676642418
